BrokerName	QueryDateTime	SalePrice	
edreams	10:52.0	£56.356654752	
easycar	10:52.0	£63.988285083	
wisecars	10:52.0	£74.946523507	
argus car hire	10:52.0	£53.617095146	
holiday autos	10:52.0	£53.812777975	
edreams	10:52.0	£54.399826462	
easycar	10:52.0	£62.814188109	
argus car hire	10:52.0	£54.399826462	
holiday autos	10:52.0	£54.595509291	
edreams	10:52.0	£54.986874949	
bsp-auto	10:52.0	£56.943703239	
easycar	10:52.0	£65.749430544	
argus car hire	10:52.0	£54.79119212	
holiday autos	10:52.0	£54.79119212	
edreams	10:52.0	£55.378240607	
bsp-auto	10:52.0	£56.943703239	
easycar	10:52.0	£66.140796202	
argus car hire	10:52.0	£54.79119212	
holiday autos	10:52.0	£54.79119212	
edreams	10:52.0	£55.378240607	
wisecars	10:52.0	£63.596919425	
easycar	10:52.0	£63.792602254	
argus car hire	10:52.0	£54.986874949	
edreams	10:52.0	£55.573923436	
holiday autos	10:52.0	£58.313483042	
bsp-auto	10:52.0	£63.792602254	
goldcar	10:52.0	£65.162382057	
easycar	10:52.0	£68.293307321	
wisecars	10:52.0	£109.778067069	
bsp-auto	10:52.0	£54.986874949	
goldcar	10:52.0	£68.48899015	
argus car hire	10:52.0	£55.182557778	
holiday autos	10:52.0	£55.182557778	
edreams	10:52.0	£55.769606265	
easycar	10:52.0	£64.57533357	
argus car hire	10:52.0	£55.182557778	
holiday autos	10:52.0	£55.378240607	
edreams	10:52.0	£55.769606265	
wisecars	10:52.0	£63.792602254	
easycar	10:52.0	£66.727844689	
bsp-auto	10:52.0	£55.378240607	
bsp-auto	10:52.0	£55.378240607	
argus car hire	10:52.0	£61.053042648	
holiday autos	10:52.0	£61.248725477	
edreams	10:52.0	£61.640091135	
easycar	10:52.0	£73.772426533	
wisecars	10:52.0	£73.968109362	
bsp-auto	10:52.0	£55.573923436	
holiday autos	10:52.0	£57.530751726	
edreams	10:52.0	£58.900531529	
argus car hire	10:52.0	£58.900531529	
easycar	10:52.0	£62.422822451	
goldcar	10:52.0	£55.965289094	
bsp-auto	10:52.0	£57.139386068	
wisecars	10:52.0	£62.227139622	
edreams	10:52.0	£57.139386068	
argus car hire	10:52.0	£58.313483042	
holiday autos	10:52.0	£58.313483042	
bsp-auto	10:52.0	£58.900531529	
easycar	10:52.0	£68.293307321	
argus car hire	10:52.0	£57.335068897	
holiday autos	10:52.0	£57.335068897	
edreams	10:52.0	£57.922117384	
bsp-auto	10:52.0	£59.683262845	
easycar	10:52.0	£66.336479031	
bsp-auto	10:52.0	£57.530751726	
wisecars	10:52.0	£62.61850528	
edreams	10:52.0	£63.792602254	
argus car hire	10:52.0	£63.792602254	
easycar	10:52.0	£63.792602254	
holiday autos	10:52.0	£63.792602254	
argus car hire	10:52.0	£57.726434555	
holiday autos	10:52.0	£57.922117384	
edreams	10:52.0	£58.313483042	
easycar	10:52.0	£69.858769953	
argus car hire	10:52.0	£58.117800213	
holiday autos	10:52.0	£58.117800213	
edreams	10:52.0	£58.7048487	
easycar	10:52.0	£68.097624492	
wisecars	10:52.0	£58.313483042	
argus car hire	10:52.0	£58.313483042	
europcar	10:52.0	£62.61850528	
edreams	10:52.0	£69.663087124	
argus car hire	10:52.0	£69.663087124	
easycar	10:52.0	£69.663087124	
holiday autos	10:52.0	£69.663087124	
wisecars	10:52.0	£70.641501269	
bsp-auto	10:52.0	£63.205553767	
edreams	10:52.0	£66.53216186	
argus car hire	10:52.0	£66.53216186	
easycar	10:52.0	£66.53216186	
holiday autos	10:52.0	£66.53216186	
wisecars	10:52.0	£67.901941663	
edreams	10:52.0	£64.183967912	
argus car hire	10:52.0	£64.183967912	
easycar	10:52.0	£64.183967912	
holiday autos	10:52.0	£65.945113373	
bsp-auto	10:52.0	£65.162382057	
wisecars	10:52.0	£71.032866927	
edreams	10:52.0	£73.185378046	
argus car hire	10:52.0	£73.185378046	
easycar	10:52.0	£73.185378046	
holiday autos	10:52.0	£73.185378046	
wisecars	10:52.0	£74.163792191	
bsp-auto	10:52.0	£65.749430544	
wisecars	10:52.0	£68.684672979	
edreams	10:52.0	£70.054452782	
argus car hire	10:52.0	£70.054452782	
easycar	10:52.0	£70.054452782	
holiday autos	10:52.0	£70.054452782	
bsp-auto	10:52.0	£65.749430544	
edreams	10:52.0	£66.336479031	
argus car hire	10:52.0	£66.336479031	
easycar	10:52.0	£66.336479031	
holiday autos	10:52.0	£66.336479031	
edreams	10:52.0	£67.706258834	
argus car hire	10:52.0	£67.706258834	
easycar	10:52.0	£67.706258834	
holiday autos	10:52.0	£67.706258834	
bsp-auto	10:52.0	£67.901941663	
wisecars	10:52.0	£68.880355808	
edreams	10:52.0	£69.467404295	
argus car hire	10:52.0	£69.467404295	
easycar	10:52.0	£69.467404295	
holiday autos	10:52.0	£69.467404295	
edreams	10:52.0	£58.900531529	
holiday autos	10:52.0	£61.835773964	
bsp-auto	10:52.0	£67.901941663	
goldcar	10:52.0	£69.076038637	
easycar	10:52.0	£72.40264673	
edreams	10:52.0	£58.313483042	
argus car hire	10:52.0	£59.487580016	
holiday autos	10:52.0	£59.487580016	
easycar	10:52.0	£69.663087124	
edreams	10:52.0	£58.900531529	
argus car hire	10:52.0	£61.248725477	
holiday autos	10:52.0	£61.444408306	
easycar	10:52.0	£70.641501269	
bsp-auto	10:52.0	£59.096214358	
europcar	10:52.0	£66.336479031	
edreams	10:52.0	£73.772426533	
argus car hire	10:52.0	£73.772426533	
easycar	10:52.0	£73.772426533	
holiday autos	10:52.0	£73.772426533	
wisecars	10:52.0	£74.946523507	
argus car hire	10:52.0	£59.683262845	
holiday autos	10:52.0	£59.683262845	
edreams	10:52.0	£60.270311332	
easycar	10:52.0	£72.011281072	
wisecars	10:52.0	£73.772426533	
bsp-auto	10:52.0	£60.270311332	
bsp-auto	10:52.0	£61.248725477	
holiday autos	10:52.0	£62.814188109	
edreams	10:52.0	£65.358064886	
argus car hire	10:52.0	£65.358064886	
easycar	10:52.0	£66.336479031	
edreams	10:52.0	£61.248725477	
argus car hire	10:52.0	£62.422822451	
holiday autos	10:52.0	£62.422822451	
bsp-auto	10:52.0	£63.009870938	
easycar	10:52.0	£73.185378046	
bsp-auto	10:52.0	£61.640091135	
bsp-auto	10:52.0	£61.835773964	
bsp-auto	10:52.0	£62.422822451	
argus car hire	10:52.0	£62.61850528	
holiday autos	10:52.0	£62.814188109	
edreams	10:52.0	£63.205553767	
easycar	10:52.0	£75.337889165	
wisecars	10:52.0	£77.490400284	
holiday autos	10:52.0	£62.814188109	
edreams	10:52.0	£64.183967912	
argus car hire	10:52.0	£64.183967912	
easycar	10:52.0	£68.097624492	
argus car hire	10:52.0	£63.205553767	
edreams	10:52.0	£63.792602254	
holiday autos	10:52.0	£66.923527518	
bsp-auto	10:52.0	£73.381060875	
goldcar	10:52.0	£74.946523507	
easycar	10:52.0	£78.468814429	
wisecars	10:52.0	£121.519036809	
argus car hire	10:52.0	£63.205553767	
holiday autos	10:52.0	£63.401236596	
edreams	10:52.0	£63.792602254	
bsp-auto	10:52.0	£71.228549756	
easycar	10:52.0	£76.511986139	
wisecars	10:52.0	£81.991105351	
edreams	10:52.0	£65.358064886	
argus car hire	10:52.0	£65.358064886	
easycar	10:52.0	£65.358064886	
holiday autos	10:52.0	£67.314893176	
argus car hire	10:52.0	£65.553747715	
holiday autos	10:52.0	£65.749430544	
edreams	10:52.0	£66.140796202	
easycar	10:52.0	£78.2731316	
wisecars	10:52.0	£81.208374035	
europcar	10:52.0	£65.749430544	
edreams	10:52.0	£66.336479031	
argus car hire	10:52.0	£66.336479031	
easycar	10:52.0	£66.336479031	
holiday autos	10:52.0	£66.336479031	
bsp-auto	10:52.0	£67.119210347	
edreams	10:52.0	£73.968109362	
argus car hire	10:52.0	£73.968109362	
easycar	10:52.0	£73.968109362	
holiday autos	10:52.0	£73.968109362	
avis	10:52.0	£73.968109362	
edreams	10:52.0	£67.119210347	
argus car hire	10:52.0	£67.901941663	
holiday autos	10:52.0	£68.097624492	
easycar	10:52.0	£80.621325548	
edreams	10:52.0	£67.706258834	
argus car hire	10:52.0	£67.706258834	
easycar	10:52.0	£67.706258834	
holiday autos	10:52.0	£67.706258834	
argus car hire	10:52.0	£67.706258834	
holiday autos	10:52.0	£67.901941663	
edreams	10:52.0	£68.293307321	
bsp-auto	10:52.0	£76.120620481	
easycar	10:52.0	£81.991105351	
wisecars	10:52.0	£87.861590221	
bsp-auto	10:52.0	£67.901941663	
wisecars	10:52.0	£73.968109362	
edreams	10:52.0	£75.337889165	
argus car hire	10:52.0	£75.337889165	
easycar	10:52.0	£75.337889165	
holiday autos	10:52.0	£75.337889165	
argus car hire	10:52.0	£68.684672979	
holiday autos	10:52.0	£68.880355808	
edreams	10:52.0	£69.271721466	
bsp-auto	10:52.0	£71.815598243	
easycar	10:52.0	£78.664497258	
bsp-auto	10:52.0	£69.271721466	
bsp-auto	10:52.0	£69.271721466	
bsp-auto	10:52.0	£69.271721466	
europcar	10:52.0	£77.881765942	
edreams	10:52.0	£86.687493247	
argus car hire	10:52.0	£86.687493247	
easycar	10:52.0	£86.687493247	
holiday autos	10:52.0	£86.687493247	
wisecars	10:52.0	£87.861590221	
bsp-auto	10:52.0	£69.271721466	
wisecars	10:52.0	£75.337889165	
edreams	10:52.0	£76.903351797	
argus car hire	10:52.0	£76.903351797	
easycar	10:52.0	£76.903351797	
holiday autos	10:52.0	£76.903351797	
argus car hire	10:52.0	£69.467404295	
holiday autos	10:52.0	£69.663087124	
edreams	10:52.0	£69.858769953	
easycar	10:52.0	£83.947933641	
wisecars	10:52.0	£85.904761931	
edreams	10:52.0	£69.858769953	
argus car hire	10:52.0	£69.858769953	
easycar	10:52.0	£69.858769953	
holiday autos	10:52.0	£69.858769953	
wisecars	10:52.0	£69.858769953	
argus car hire	10:52.0	£70.44581844	
holiday autos	10:52.0	£70.641501269	
edreams	10:52.0	£71.032866927	
bsp-auto	10:52.0	£73.576743704	
easycar	10:52.0	£85.122030615	
bsp-auto	10:52.0	£70.641501269	
wisecars	10:52.0	£76.903351797	
bsp-auto	10:52.0	£70.641501269	
edreams	10:52.0	£74.946523507	
argus car hire	10:52.0	£74.946523507	
holiday autos	10:52.0	£75.142206336	
easycar	10:52.0	£78.2731316	
bsp-auto	10:52.0	£70.837184098	
edreams	10:52.0	£77.881765942	
argus car hire	10:52.0	£77.881765942	
easycar	10:52.0	£77.881765942	
holiday autos	10:52.0	£77.881765942	
avis	10:52.0	£77.881765942	
bsp-auto	10:52.0	£71.228549756	
wisecars	10:52.0	£77.686083113	
bsp-auto	10:52.0	£71.424232585	
wisecars	10:52.0	£72.598329559	
edreams	10:52.0	£73.185378046	
argus car hire	10:52.0	£73.185378046	
easycar	10:52.0	£73.185378046	
holiday autos	10:52.0	£73.185378046	
bsp-auto	10:52.0	£72.011281072	
wisecars	10:52.0	£75.142206336	
edreams	10:52.0	£73.576743704	
argus car hire	10:52.0	£73.576743704	
easycar	10:52.0	£73.576743704	
holiday autos	10:52.0	£73.576743704	
bsp-auto	10:52.0	£73.968109362	
edreams	10:52.0	£76.120620481	
argus car hire	10:52.0	£76.120620481	
easycar	10:52.0	£76.120620481	
holiday autos	10:52.0	£76.120620481	
wisecars	10:52.0	£77.099034626	
sixt	10:52.0	£83.165202325	
kayak	10:52.0	£83.165202325	
bsp-auto	10:52.0	£75.924937652	
bsp-auto	10:52.0	£79.447228574	
wisecars	10:52.0	£91.579563972	
bsp-auto	10:52.0	£82.773836667	
edreams	10:52.0	£76.707668968	
argus car hire	10:52.0	£76.707668968	
easycar	10:52.0	£76.707668968	
holiday autos	10:52.0	£76.707668968	
bsp-auto	10:52.0	£72.794012388	
holiday autos	10:52.0	£73.772426533	
edreams	10:52.0	£77.490400284	
argus car hire	10:52.0	£77.490400284	
easycar	10:52.0	£78.664497258	
argus car hire	10:52.0	£73.381060875	
holiday autos	10:52.0	£73.576743704	
edreams	10:52.0	£73.772426533	
bsp-auto	10:52.0	£76.707668968	
easycar	10:52.0	£86.883176076	
edreams	10:52.0	£73.576743704	
argus car hire	10:52.0	£73.576743704	
easycar	10:52.0	£73.576743704	
holiday autos	10:52.0	£73.576743704	
edreams	10:52.0	£73.576743704	
argus car hire	10:52.0	£73.576743704	
easycar	10:52.0	£73.576743704	
holiday autos	10:52.0	£73.576743704	
edreams	10:52.0	£73.968109362	
argus car hire	10:52.0	£73.968109362	
easycar	10:52.0	£73.968109362	
holiday autos	10:52.0	£76.511986139	
bsp-auto	10:52.0	£74.163792191	
wisecars	10:52.0	£74.163792191	
argus car hire	10:52.0	£74.555157849	
holiday autos	10:52.0	£74.750840678	
edreams	10:52.0	£74.946523507	
bsp-auto	10:52.0	£83.752250812	
easycar	10:52.0	£90.01410134	
wisecars	10:52.0	£74.750840678	
bsp-auto	10:52.0	£75.533571994	
argus car hire	10:52.0	£75.729254823	
holiday autos	10:52.0	£75.924937652	
edreams	10:52.0	£80.621325548	
easycar	10:52.0	£86.883176076	
wisecars	10:52.0	£91.775246801	
edreams	10:52.0	£78.077448771	
argus car hire	10:52.0	£78.077448771	
easycar	10:52.0	£78.077448771	
holiday autos	10:52.0	£78.077448771	
wisecars	10:52.0	£79.055862916	
sixt	10:52.0	£85.317713444	
kayak	10:52.0	£85.317713444	
bsp-auto	10:52.0	£75.924937652	
edreams	10:52.0	£79.838594232	
argus car hire	10:52.0	£79.838594232	
easycar	10:52.0	£79.838594232	
holiday autos	10:52.0	£79.838594232	
wisecars	10:52.0	£81.599739693	
argus car hire	10:52.0	£77.099034626	
holiday autos	10:52.0	£77.294717455	
edreams	10:52.0	£77.686083113	
easycar	10:52.0	£86.883176076	
wisecars	10:52.0	£95.493220552	
bsp-auto	10:52.0	£78.077448771	
edreams	10:52.0	£80.22995989	
argus car hire	10:52.0	£80.22995989	
easycar	10:52.0	£80.22995989	
holiday autos	10:52.0	£80.22995989	
wisecars	10:52.0	£81.208374035	
sixt	10:52.0	£87.861590221	
kayak	10:52.0	£87.861590221	
bsp-auto	10:52.0	£78.2731316	
edreams	10:52.0	£78.2731316	
argus car hire	10:52.0	£78.2731316	
easycar	10:52.0	£78.2731316	
holiday autos	10:52.0	£78.2731316	
bsp-auto	10:52.0	£80.22995989	
wisecars	10:52.0	£87.078858905	
argus car hire	10:52.0	£78.664497258	
holiday autos	10:52.0	£78.860180087	
edreams	10:52.0	£79.055862916	
easycar	10:52.0	£95.101854894	
wisecars	10:52.0	£97.254366013	
edreams	10:52.0	£78.664497258	
argus car hire	10:52.0	£78.664497258	
easycar	10:52.0	£78.664497258	
holiday autos	10:52.0	£78.664497258	
edreams	10:52.0	£78.664497258	
argus car hire	10:52.0	£78.664497258	
easycar	10:52.0	£78.664497258	
holiday autos	10:52.0	£78.664497258	
edreams	10:52.0	£79.055862916	
argus car hire	10:52.0	£79.055862916	
holiday autos	10:52.0	£79.055862916	
easycar	10:52.0	£83.752250812	
bsp-auto	10:52.0	£108.408287266	
wisecars	10:52.0	£79.055862916	
bsp-auto	10:52.0	£80.034277061	
edreams	10:52.0	£84.14361647	
argus car hire	10:52.0	£84.14361647	
easycar	10:52.0	£84.14361647	
holiday autos	10:52.0	£84.14361647	
wisecars	10:52.0	£85.904761931	
